GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server-app-api,org.example.app.request,GoRequest,83,0,14,0,2,0,14,0,7,0
server-app-api,org.example.app.request,HelloRequest,83,0,14,0,2,0,14,0,7,0
server-app-api,org.example.app.response,GoResponse,86,0,14,0,3,0,14,0,7,0
server-app-api,org.example.app.response,HelloResponse,86,0,14,0,3,0,14,0,7,0
server-app-api,org.example.app.service,GreetingService,33,0,0,0,3,0,3,0,3,0
server-app-api,org.example.app.controller,GreetRequestController,65,0,4,0,17,0,5,0,3,0
server-app-api,org.example.app.controller,ServerReadyController,8,0,0,0,3,0,2,0,2,0
server-app-api,org.example.app.config,AppConfig,126,0,22,0,3,0,20,0,9,0
server-app-api,org.example.app,AppEntry,62,0,0,0,16,0,6,0,6,0
